1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217
90,0.6515006,0.5385305,0.8669052,0.9091755,0.8669052,0.7515246,0.8669052,0.9091755,0.8669052,0.8266001,0.5134926,0.7515246,0.4047189,0.9091755,0.002482,0.6832678,0.8266001,0.4896187,0.9091755,0.788169,0.5647893,0.8669052,0.9091755,0.4896187,0.9091755,0.0061327,0.788169,0.9091755,0.8266001,0.5923284,0.788169,0.8669052,0.9091755,0.3679605,0.9091755,0.0026031,0.8669052,0.7515246,0.8669052,0.716584,0.6212104,0.9091755,0.9091755,0.9091755,0.1017526,0,0.8669052,0.8669052,0.9091755,0.000012,0.8669052,0.3041562,0.9091755,0.788169,0.716584,0.716584,0.7515246,0.8669052,0.8266001,0.8669052,0.9091755,0.788169,0.788169,0.6832678,0.8669052,0.788169,0.8266001,0.0000001,0.2397265,0.9091755,0.6515006,0.9091755,0.9091755,0.8266001,0.7515246,0.7515246,0.8266001,0.0729143,0.7515246,0.8266001,0.8266001,0.8266001,0.8266001,0.9091755,0.8669052,0.9091755,0.9091755,0.4668549,1,0.8669052,0.9091755,0.7515246,0.8669052,0.4047189,0.8266001,0.8266001,0.9091755,0.7515246,0.788169,0.8669052,0.5647893,0.7515246,0.4451494,0.716584,0.6212104,0.8669052,0.8266001,0.8669052,0.9091755,0.5647893,0.9091755,0.424453,0.0113879,0.8669052,0.2636746,0.8266001,0.8266001,0.2514156,0.788169,0.9091755,0.8266001,0.716584,0.198158,0.0729143,0.8669052,0.6832678,0.1419968,0.788169,0.9091755,0.4896187,0.716584,0.2900151,0.8669052,0.9091755,0.3508529,0.8669052,0.7515246,0.9091755,0.8669052,0.9091755,0.9091755,0.8266001,0.9091755,0.9091755,0.1291,0.8669052,0.788169,0.8669052,0.8266001,0.8669052,0.8669052,0.8669052,0.8669052,0.9091755,0,0.716584,0.8669052,0.9091755,0.8669052,0.5923284,0.9091755,0.1173746,0.8669052,0.092511,0.6515006,0.788169,0.198158,0.8266001,0.9091755,0.2636746,0.8669052,0.8669052,0.8669052,0.788169,0.8266001,0.9091755,0.8669052,0.8669052,0.5134926,0.9091755,0.9091755,0.9091755,0.1801604,0.1637974,0.9091755,0.8266001,0.716584,0.8669052,0.9091755,0.2285809,0.9091755,0.6832678,0.9091755,0.9091755,0.0030027,0.8266001,0.8669052,0.9091755,0.7515246,0.8266001,0.5923284,0.6515006,0.8266001,0.9091755,0.8266001,0.8669052,0.8266001,0.0000004,0.0662919,0.8669052,0.8669052,0.716584,0.9091755,0.8669052,0.6832678,0.9091755
91,0.6212104,0.5134926,0.8266001,0.8669052,0.8266001,0.716584,0.8266001,0.8669052,0.8266001,0.788169,0.4896187,0.716584,0.3859023,0.8669052,0.0021517,0.6515006,0.788169,0.4668549,0.8669052,0.7515246,0.5385305,0.8266001,0.8669052,0.4668549,0.8669052,0.0053165,0.7515246,0.8669052,0.788169,0.5647893,0.7515246,0.8266001,0.8669052,0.3508529,0.8669052,0.0022566,0.8266001,0.716584,0.8266001,0.6832678,0.5923284,0.8669052,0.8669052,0.8669052,0.0970219,0,0.8266001,0.8266001,0.8669052,0.0000104,0.8266001,0.2900151,0.8669052,0.7515246,0.6832678,0.6832678,0.716584,0.8266001,0.788169,0.8266001,0.8669052,0.7515246,0.7515246,0.6515006,0.8266001,0.7515246,0.788169,0.0000001,0.2078202,0.8669052,0.6212104,0.8669052,0.8669052,0.788169,0.716584,0.716584,0.716584,0.0632098,0.716584,0.788169,0.788169,0.788169,0.788169,0.8669052,0.8266001,0.8669052,0.8669052,0.4451494,0.8669052,1,0.8669052,0.716584,0.8266001,0.3859023,0.788169,0.716584,0.8669052,0.716584,0.7515246,0.8266001,0.5385305,0.716584,0.424453,0.6832678,0.5923284,0.8266001,0.788169,0.8266001,0.8669052,0.4896187,0.8669052,0.4047189,0.0098722,0.8266001,0.2514156,0.788169,0.788169,0.2397265,0.7515246,0.8669052,0.788169,0.6832678,0.1717842,0.0632098,0.8266001,0.6515006,0.135395,0.7515246,0.8669052,0.4668549,0.6832678,0.2765314,0.8266001,0.8669052,0.3345407,0.8266001,0.716584,0.8669052,0.8266001,0.8669052,0.8669052,0.788169,0.8669052,0.8669052,0.1230978,0.8266001,0.7515246,0.8266001,0.788169,0.8266001,0.8266001,0.8266001,0.8266001,0.8669052,0,0.6832678,0.8266001,0.8669052,0.8266001,0.5134926,0.8669052,0.1017526,0.8266001,0.0882099,0.6212104,0.7515246,0.1717842,0.788169,0.8669052,0.2514156,0.8266001,0.8266001,0.8266001,0.7515246,0.788169,0.8669052,0.8266001,0.8266001,0.4896187,0.8669052,0.8669052,0.8669052,0.1717842,0.156182,0.8669052,0.788169,0.6832678,0.8266001,0.8669052,0.198158,0.8669052,0.6515006,0.8669052,0.8669052,0.0026031,0.788169,0.8266001,0.8669052,0.716584,0.788169,0.5647893,0.6212104,0.788169,0.8669052,0.788169,0.8266001,0.788169,0.0000004,0.0632098,0.8266001,0.8266001,0.6832678,0.8669052,0.8266001,0.6515006,0.8669052
92,0.716584,0.5385305,0.8669052,0.9091755,0.8669052,0.7515246,0.8669052,0.9091755,0.8669052,0.8266001,0.5134926,0.7515246,0.4047189,0.9091755,0.0022566,0.7515246,0.9091755,0.4896187,0.9091755,0.788169,0.5647893,0.8669052,0.9091755,0.4896187,0.9091755,0.0055757,0.788169,0.9091755,0.8266001,0.5923284,0.788169,0.8669052,0.9091755,0.3679605,0.9091755,0.0023666,0.8669052,0.7515246,0.8669052,0.716584,0.6212104,0.9091755,0.9091755,0.9091755,0.1017526,0,0.8669052,0.8669052,0.9091755,0.0000109,0.8669052,0.3041562,0.9091755,0.788169,0.716584,0.716584,0.7515246,0.8669052,0.8266001,0.8669052,0.9091755,0.788169,0.788169,0.6832678,0.8669052,0.788169,0.8266001,0.0000001,0.2179535,0.9091755,0.6515006,0.9091755,0.9091755,0.8266001,0.7515246,0.7515246,0.7515246,0.0662919,0.7515246,0.8266001,0.8266001,0.8266001,0.8266001,0.9091755,0.8669052,0.9091755,0.9091755,0.4668549,0.9091755,0.8669052,1,0.7515246,0.8669052,0.4047189,0.8266001,0.7515246,0.9091755,0.7515246,0.788169,0.8669052,0.6212104,0.7515246,0.4451494,0.716584,0.6212104,0.8669052,0.8266001,0.8669052,0.9091755,0.5134926,0.9091755,0.424453,0.0103536,0.8669052,0.2636746,0.8266001,0.8266001,0.2514156,0.788169,0.9091755,0.8266001,0.716584,0.1801604,0.0662919,0.8669052,0.6832678,0.1419968,0.788169,0.9091755,0.4896187,0.788169,0.2900151,0.8669052,0.9091755,0.3508529,0.8669052,0.7515246,0.9091755,0.8669052,0.9091755,0.9091755,0.8266001,0.9091755,0.9091755,0.1291,0.8669052,0.788169,0.8669052,0.8266001,0.8669052,0.8669052,0.8669052,0.8669052,0.9091755,0,0.716584,0.8669052,0.9091755,0.8669052,0.5385305,0.9091755,0.1067141,0.8669052,0.092511,0.6515006,0.788169,0.1801604,0.8266001,0.9091755,0.2636746,0.8669052,0.8669052,0.8669052,0.788169,0.8266001,0.9091755,0.8669052,0.8669052,0.5134926,0.9091755,0.9091755,0.9091755,0.1801604,0.1637974,0.9091755,0.8266001,0.716584,0.8669052,0.9091755,0.2078202,0.9091755,0.6832678,0.9091755,0.9091755,0.00273,0.8266001,0.8669052,0.9091755,0.7515246,0.8266001,0.5923284,0.6515006,0.8266001,0.9091755,0.8266001,0.8669052,0.8266001,0.0000004,0.0662919,0.8669052,0.8669052,0.716584,0.9091755,0.8669052,0.6832678,0.9091755
93,0.5385305,0.4451494,0.716584,0.7515246,0.716584,0.6212104,0.716584,0.7515246,0.716584,0.6832678,0.424453,0.6212104,0.3679605,0.7515246,0.0020516,0.5647893,0.6832678,0.4047189,0.7515246,0.6515006,0.4668549,0.716584,0.7515246,0.4047189,0.7515246,0.0046089,0.6515006,0.7515246,0.6832678,0.4896187,0.6515006,0.716584,0.7515246,0.3041562,0.7515246,0.0026031,0.716584,0.6212104,0.716584,0.5923284,0.5134926,0.7515246,0.7515246,0.7515246,0.0841087,0,0.716584,0.716584,0.7515246,0.0000132,0.716584,0.2514156,0.7515246,0.6515006,0.5923284,0.5923284,0.6212104,0.716584,0.6832678,0.716584,0.7515246,0.6515006,0.6515006,0.5647893,0.716584,0.6515006,0.6832678,0.0000001,0.198158,0.7515246,0.5385305,0.7515246,0.7515246,0.6832678,0.6212104,0.6212104,0.6212104,0.060271,0.6212104,0.6832678,0.6832678,0.6832678,0.6832678,0.7515246,0.716584,0.7515246,0.7515246,0.3859023,0.7515246,0.716584,0.7515246,1,0.716584,0.3345407,0.6832678,0.6212104,0.7515246,0.6212104,0.6515006,0.716584,0.4668549,0.6212104,0.3679605,0.5923284,0.5134926,0.716584,0.6832678,0.716584,0.7515246,0.424453,0.7515246,0.3508529,0.0103536,0.716584,0.2179535,0.6832678,0.6832678,0.2285809,0.6515006,0.7515246,0.6832678,0.5923284,0.1489206,0.060271,0.716584,0.5647893,0.1291,0.6515006,0.7515246,0.4047189,0.5923284,0.2397265,0.716584,0.7515246,0.3189869,0.716584,0.6212104,0.7515246,0.716584,0.7515246,0.7515246,0.6832678,0.7515246,0.7515246,0.1067141,0.716584,0.6515006,0.716584,0.6832678,0.716584,0.716584,0.716584,0.716584,0.7515246,0,0.5923284,0.716584,0.7515246,0.716584,0.4451494,0.7515246,0.1067141,0.716584,0.0764696,0.5385305,0.6515006,0.1637974,0.6832678,0.7515246,0.2179535,0.716584,0.716584,0.716584,0.6515006,0.6832678,0.7515246,0.716584,0.716584,0.424453,0.7515246,0.7515246,0.7515246,0.1489206,0.135395,0.7515246,0.6832678,0.5923284,0.716584,0.7515246,0.1717842,0.7515246,0.5647893,0.7515246,0.7515246,0.0022566,0.6832678,0.716584,0.7515246,0.6212104,0.6832678,0.4896187,0.5385305,0.6832678,0.7515246,0.6832678,0.716584,0.6832678,0.0000005,0.060271,0.716584,0.716584,0.5923284,0.7515246,0.716584,0.5647893,0.7515246
94,0.6212104,0.5134926,0.8266001,0.8669052,0.8266001,0.716584,0.8266001,0.8669052,0.8266001,0.788169,0.4896187,0.716584,0.3859023,0.8669052,0.0021517,0.6515006,0.788169,0.4668549,0.8669052,0.7515246,0.5385305,0.8266001,0.8669052,0.4668549,0.8669052,0.0053165,0.7515246,0.8669052,0.788169,0.6212104,0.7515246,0.8266001,0.8669052,0.3508529,0.8669052,0.0022566,0.8266001,0.716584,0.8266001,0.6832678,0.5923284,0.8669052,0.8669052,0.8669052,0.1067141,0,0.8266001,0.8266001,0.8669052,0.0000104,0.8266001,0.2900151,0.8669052,0.7515246,0.6832678,0.6832678,0.716584,0.8266001,0.788169,0.8266001,0.8669052,0.7515246,0.7515246,0.6515006,0.8266001,0.7515246,0.788169,0.0000001,0.2285809,0.8669052,0.6212104,0.8669052,0.8669052,0.788169,0.716584,0.716584,0.716584,0.0632098,0.716584,0.788169,0.788169,0.788169,0.788169,0.8669052,0.8266001,0.8669052,0.8669052,0.4451494,0.8669052,0.8266001,0.8669052,0.716584,1,0.3859023,0.788169,0.716584,0.8669052,0.716584,0.7515246,0.8266001,0.5385305,0.716584,0.424453,0.6832678,0.5923284,0.8266001,0.788169,0.8266001,0.8669052,0.4896187,0.8669052,0.4047189,0.0098722,0.8266001,0.2514156,0.788169,0.788169,0.2397265,0.7515246,0.8669052,0.788169,0.6832678,0.1717842,0.0632098,0.8266001,0.6515006,0.135395,0.7515246,0.8669052,0.4668549,0.6832678,0.2765314,0.8266001,0.8669052,0.3679605,0.8266001,0.716584,0.8669052,0.8266001,0.8669052,0.8669052,0.788169,0.8669052,0.8669052,0.1230978,0.8266001,0.7515246,0.8266001,0.788169,0.8266001,0.8266001,0.8266001,0.8266001,0.8669052,0,0.6832678,0.8266001,0.8669052,0.8266001,0.5134926,0.8669052,0.1017526,0.8266001,0.0882099,0.6212104,0.7515246,0.1717842,0.788169,0.8669052,0.2514156,0.8266001,0.8266001,0.8266001,0.7515246,0.788169,0.8669052,0.8266001,0.8266001,0.4896187,0.8669052,0.8669052,0.8669052,0.1717842,0.156182,0.8669052,0.788169,0.6832678,0.8266001,0.8669052,0.198158,0.8669052,0.6515006,0.8669052,0.8669052,0.0026031,0.788169,0.8266001,0.8669052,0.716584,0.788169,0.5647893,0.6212104,0.788169,0.8669052,0.788169,0.8266001,0.788169,0.0000004,0.0632098,0.8266001,0.8266001,0.6832678,0.8669052,0.8266001,0.6515006,0.8669052
95,0.2900151,0.2397265,0.3859023,0.4047189,0.424453,0.3345407,0.3859023,0.4047189,0.3859023,0.3679605,0.2285809,0.3345407,0.1801604,0.4047189,0.0011049,0.3041562,0.3679605,0.2179535,0.4047189,0.3508529,0.2514156,0.3859023,0.4047189,0.2179535,0.4047189,0.002482,0.3508529,0.4047189,0.3679605,0.3189869,0.3508529,0.3859023,0.4047189,0.1801604,0.4047189,0.0010535,0.3859023,0.3345407,0.3859023,0.3189869,0.2765314,0.4451494,0.4451494,0.4047189,0.156182,0,0.3859023,0.424453,0.4047189,0.0000065,0.3859023,0.1489206,0.4047189,0.3508529,0.3189869,0.3508529,0.3345407,0.3859023,0.3679605,0.3859023,0.4047189,0.3508529,0.3508529,0.3041562,0.3859023,0.3508529,0.3679605,0.0000001,0.0970219,0.4047189,0.2900151,0.4047189,0.4047189,0.3679605,0.3345407,0.3345407,0.3345407,0.0324578,0.3345407,0.3679605,0.3679605,0.3679605,0.3679605,0.4047189,0.3859023,0.4047189,0.4047189,0.2078202,0.4047189,0.3859023,0.4047189,0.3345407,0.3859023,1,0.3679605,0.3345407,0.4047189,0.3345407,0.3508529,0.3859023,0.2765314,0.3345407,0.198158,0.3189869,0.2765314,0.3859023,0.3679605,0.3859023,0.4047189,0.2285809,0.4047189,0.188945,0.0050693,0.3859023,0.1173746,0.3679605,0.3679605,0.1230978,0.3508529,0.4047189,0.3679605,0.3508529,0.0882099,0.0324578,0.3859023,0.3041562,0.0695243,0.3508529,0.4047189,0.2179535,0.3189869,0.1291,0.3859023,0.4047189,0.1717842,0.3859023,0.3345407,0.4047189,0.3859023,0.4047189,0.4047189,0.3679605,0.4047189,0.4047189,0.0574688,0.3859023,0.3508529,0.3859023,0.3679605,0.3859023,0.3859023,0.3859023,0.3859023,0.4047189,0,0.3189869,0.3859023,0.4047189,0.3859023,0.2636746,0.4047189,0.0522492,0.3859023,0.0411812,0.2900151,0.3508529,0.0882099,0.3679605,0.4047189,0.1173746,0.3859023,0.3859023,0.3859023,0.3508529,0.3679605,0.4047189,0.3859023,0.3859023,0.2514156,0.4047189,0.4047189,0.4047189,0.0801983,0.0729143,0.4047189,0.3679605,0.3189869,0.3859023,0.4047189,0.1017526,0.4047189,0.3041562,0.4047189,0.4047189,0.0014702,0.3679605,0.3859023,0.4047189,0.3345407,0.3679605,0.2900151,0.2900151,0.3679605,0.4047189,0.3679605,0.3859023,0.3679605,0.0000002,0.0357002,0.3859023,0.3859023,0.3189869,0.4047189,0.3859023,0.3041562,0.4047189
96,0.5923284,0.4896187,0.788169,0.8266001,0.788169,0.9091755,0.788169,0.8266001,0.788169,0.7515246,0.4668549,0.6832678,0.3679605,0.8266001,0.0020516,0.6212104,0.7515246,0.4451494,0.8266001,0.716584,0.5134926,0.788169,0.8266001,0.4451494,0.8266001,0.0050693,0.716584,0.8266001,0.7515246,0.5385305,0.716584,0.788169,0.8266001,0.3345407,0.8266001,0.0021517,0.788169,0.6832678,0.788169,0.6515006,0.5647893,0.8266001,0.8266001,0.8266001,0.092511,0,0.788169,0.788169,0.8266001,0.0000099,0.788169,0.2765314,0.8266001,0.716584,0.6515006,0.6515006,0.6832678,0.788169,0.7515246,0.788169,0.8266001,0.716584,0.716584,0.6212104,0.788169,0.716584,0.7515246,0.0000001,0.198158,0.8266001,0.5923284,0.8266001,0.8266001,0.7515246,0.6832678,0.6832678,0.6832678,0.060271,0.6832678,0.7515246,0.7515246,0.7515246,0.7515246,0.8266001,0.788169,0.8266001,0.8266001,0.424453,0.8266001,0.788169,0.8266001,0.6832678,0.788169,0.3679605,1,0.6832678,0.8266001,0.6832678,0.716584,0.788169,0.5134926,0.6832678,0.4047189,0.6515006,0.5647893,0.788169,0.7515246,0.788169,0.8266001,0.4668549,0.8266001,0.3859023,0.0094132,0.788169,0.2397265,0.7515246,0.7515246,0.2285809,0.716584,0.8266001,0.7515246,0.6515006,0.1637974,0.060271,0.788169,0.8266001,0.1291,0.716584,0.8266001,0.4451494,0.6515006,0.2636746,0.788169,0.8266001,0.3189869,0.788169,0.6832678,0.8266001,0.788169,0.8266001,0.8266001,0.7515246,0.8266001,0.8266001,0.1173746,0.788169,0.716584,0.788169,0.7515246,0.788169,0.788169,0.788169,0.788169,0.8266001,0,0.6515006,0.788169,0.8266001,0.788169,0.4896187,0.8266001,0.0970219,0.788169,0.0841087,0.5923284,0.716584,0.1637974,0.7515246,0.8266001,0.2397265,0.788169,0.788169,0.788169,0.8669052,1,0.8266001,0.788169,0.788169,0.4668549,0.8266001,0.8266001,0.8266001,0.1637974,0.1489206,0.8266001,0.7515246,0.6515006,0.788169,0.8266001,0.188945,0.8266001,0.6212104,0.8266001,0.8266001,0.002482,0.7515246,0.788169,0.8266001,0.6832678,0.7515246,0.5385305,0.5923284,0.7515246,0.8266001,0.7515246,0.788169,0.7515246,0.0000004,0.060271,0.953507,0.788169,0.6515006,0.8266001,0.788169,0.6212104,0.8266001
97,0.5385305,0.4451494,0.716584,0.7515246,0.716584,0.6212104,0.716584,0.7515246,0.716584,0.6832678,0.424453,0.6212104,0.3679605,0.7515246,0.0020516,0.5647893,0.6832678,0.4047189,0.7515246,0.6515006,0.4668549,0.716584,0.7515246,0.4047189,0.7515246,0.0055757,0.6515006,0.7515246,0.6832678,0.4896187,0.6515006,0.788169,0.7515246,0.3041562,0.7515246,0.0026031,0.716584,0.6212104,0.716584,0.5923284,0.5134926,0.7515246,0.7515246,0.7515246,0.0841087,0,0.716584,0.716584,0.7515246,0.0000109,0.716584,0.2514156,0.7515246,0.6515006,0.5923284,0.5923284,0.6212104,0.716584,0.6832678,0.716584,0.7515246,0.6515006,0.6515006,0.5647893,0.716584,0.6515006,0.6832678,0.0000001,0.2636746,0.7515246,0.5385305,0.7515246,0.7515246,0.6832678,0.6212104,0.6212104,1,0.060271,0.6212104,0.6832678,0.6832678,0.6832678,0.6832678,0.7515246,0.716584,0.7515246,0.7515246,0.3859023,0.8266001,0.716584,0.7515246,0.6212104,0.716584,0.3345407,0.6832678,1,0.7515246,0.6212104,0.6515006,0.716584,0.4668549,0.6212104,0.3679605,0.5923284,0.5134926,0.716584,0.6832678,0.716584,0.7515246,0.5134926,0.7515246,0.3508529,0.0094132,0.716584,0.2179535,0.6832678,0.6832678,0.2078202,0.6515006,0.7515246,0.6832678,0.5923284,0.1637974,0.060271,0.716584,0.5647893,0.1173746,0.6515006,0.7515246,0.5385305,0.5923284,0.2397265,0.716584,0.7515246,0.2900151,0.716584,0.6832678,0.7515246,0.716584,0.7515246,0.7515246,0.6832678,0.7515246,0.7515246,0.1067141,0.716584,0.6515006,0.788169,0.6832678,0.716584,0.716584,0.716584,0.716584,0.7515246,0,0.5923284,0.716584,0.7515246,0.716584,0.4896187,0.7515246,0.0970219,0.8669052,0.092511,0.5385305,0.6515006,0.1637974,0.6832678,0.7515246,0.2397265,0.716584,0.716584,0.716584,0.6515006,0.6832678,0.7515246,0.716584,0.716584,0.424453,0.7515246,0.7515246,0.7515246,0.1489206,0.135395,0.7515246,0.6832678,0.5923284,0.716584,0.7515246,0.188945,0.7515246,0.5647893,0.7515246,0.7515246,0.0033027,0.6832678,0.716584,0.7515246,0.6212104,0.6832678,0.4896187,0.5385305,0.6832678,0.7515246,0.6832678,0.716584,0.6832678,0.0000004,0.0547969,0.716584,0.716584,0.5923284,0.7515246,0.716584,0.5647893,0.7515246
98,0.6515006,0.5385305,0.8669052,0.9091755,0.8669052,0.7515246,0.8669052,0.9091755,0.8669052,0.8266001,0.5134926,0.7515246,0.4047189,0.9091755,0.0022566,0.6832678,0.8266001,0.4896187,0.9091755,0.788169,0.5647893,0.8669052,0.9091755,0.4896187,0.9091755,0.0055757,0.788169,0.9091755,0.8266001,0.5923284,0.788169,0.8669052,0.9091755,0.3679605,0.9091755,0.0023666,0.8669052,0.7515246,0.8669052,0.716584,0.6212104,0.9091755,0.9091755,0.9091755,0.1017526,0,0.8669052,0.8669052,0.9091755,0.0000109,0.8669052,0.3041562,0.9091755,0.788169,0.716584,0.716584,0.7515246,0.8669052,0.8266001,0.8669052,0.9091755,0.788169,0.788169,0.6832678,0.8669052,0.788169,0.8266001,0.0000001,0.2179535,0.9091755,0.6515006,0.9091755,0.9091755,0.8266001,0.7515246,0.7515246,0.7515246,0.0662919,0.7515246,0.8266001,0.8266001,0.8266001,0.8266001,0.9091755,0.8669052,0.9091755,0.9091755,0.4668549,0.9091755,0.8669052,0.9091755,0.7515246,0.8669052,0.4047189,0.8266001,0.7515246,1,0.7515246,0.788169,0.8669052,0.5647893,0.7515246,0.4451494,0.716584,0.6212104,0.8669052,0.8266001,0.8669052,0.9091755,0.5134926,0.9091755,0.424453,0.0103536,0.8669052,0.2636746,0.8266001,0.8266001,0.2514156,0.788169,0.9091755,0.8266001,0.716584,0.1801604,0.0662919,0.8669052,0.6832678,0.1419968,0.788169,0.9091755,0.4896187,0.716584,0.2900151,0.8669052,0.9091755,0.3508529,0.8669052,0.7515246,0.9091755,0.8669052,0.9091755,0.9091755,0.8266001,0.9091755,0.9091755,0.1291,0.8669052,0.788169,0.8669052,0.8266001,0.8669052,0.8669052,0.8669052,0.8669052,0.9091755,0,0.716584,0.8669052,0.9091755,0.8669052,0.5385305,0.9091755,0.1067141,0.8669052,0.092511,0.6515006,0.788169,0.1801604,0.8266001,0.9091755,0.2636746,0.8669052,0.8669052,0.8669052,0.788169,0.8266001,0.9091755,0.8669052,0.8669052,0.5134926,0.9091755,0.9091755,0.9091755,0.1801604,0.1637974,0.9091755,0.8266001,0.716584,0.8669052,0.9091755,0.2078202,0.9091755,0.6832678,0.9091755,0.9091755,0.00273,0.8266001,0.8669052,0.9091755,0.7515246,0.8266001,0.5923284,0.6515006,0.8266001,0.9091755,0.8266001,0.8669052,0.8266001,0.0000004,0.0662919,0.8669052,0.8669052,0.716584,0.9091755,0.8669052,0.6832678,0.9091755
99,0.5385305,0.4451494,0.716584,0.7515246,0.716584,0.6212104,0.716584,0.7515246,0.716584,0.6832678,0.424453,0.6212104,0.3345407,0.7515246,0.00273,0.5647893,0.6832678,0.4047189,0.7515246,0.6515006,0.5647893,0.716584,0.7515246,0.4047189,0.7515246,0.0067454,0.6515006,0.7515246,0.6832678,0.4896187,0.6515006,0.716584,0.7515246,0.3041562,0.7515246,0.0021517,0.716584,0.6212104,0.716584,0.5923284,0.5134926,0.7515246,0.7515246,0.7515246,0.0841087,0,0.716584,0.716584,0.7515246,0.0000132,0.716584,0.2514156,0.7515246,0.716584,0.5923284,0.5923284,0.6212104,0.716584,0.8266001,0.716584,0.7515246,0.6515006,0.6515006,0.5647893,0.716584,0.6515006,0.6832678,0.0000001,0.2179535,0.7515246,0.5385305,0.7515246,0.7515246,0.6832678,0.6212104,0.6212104,0.6212104,0.0801983,0.6212104,0.6832678,0.6832678,0.6832678,0.6832678,0.7515246,0.716584,0.7515246,0.7515246,0.4668549,0.7515246,0.716584,0.7515246,0.6212104,0.716584,0.3345407,0.6832678,0.6212104,0.7515246,1,0.6515006,0.716584,0.4668549,0.6212104,0.3679605,0.5923284,0.5134926,0.716584,0.6832678,0.716584,0.7515246,0.424453,0.7515246,0.3508529,0.0113879,0.716584,0.2179535,0.7515246,0.6832678,0.2078202,0.716584,0.7515246,0.6832678,0.5923284,0.2179535,0.0801983,0.716584,0.5647893,0.1419968,0.716584,0.7515246,0.4047189,0.5923284,0.2900151,0.716584,0.7515246,0.3189869,0.716584,0.6212104,0.7515246,0.716584,0.7515246,0.7515246,0.6832678,0.7515246,0.7515246,0.1067141,0.716584,0.6515006,0.716584,0.6832678,0.788169,0.716584,0.716584,0.716584,0.8266001,0,0.5923284,0.716584,0.7515246,0.716584,0.4451494,0.7515246,0.1291,0.716584,0.0764696,0.5923284,0.6515006,0.2179535,0.6832678,0.7515246,0.2636746,0.788169,0.788169,0.716584,0.6515006,0.6832678,0.7515246,0.716584,0.716584,0.424453,0.7515246,0.7515246,0.7515246,0.198158,0.135395,0.7515246,0.6832678,0.5923284,0.716584,0.7515246,0.188945,0.7515246,0.5647893,0.7515246,0.7515246,0.0033027,0.6832678,0.716584,0.7515246,0.6212104,0.6832678,0.4896187,0.5385305,0.6832678,0.7515246,0.6832678,0.788169,0.6832678,0.0000005,0.0547969,0.716584,0.716584,0.5923284,0.7515246,0.716584,0.5647893,0.7515246
